"dtime_local per 10 minutes","95th percentile of rtt_max"
1688721000000,97.53063999999996
1688721600000,97.32721
1688722200000,98.16208999999998
1688722800000,99.35897499999999
1688723400000,97.38481499999999
1688724000000,97.46179
1688724600000,97.03081499999998
1688725200000,97.60083499999996
1688725800000,97.48637499999997
1688726400000,99.00921499999995
1688727000000,99.05248499999996
1688727600000,96.65411499999998
1688728200000,96.81330499999996
1688728800000,94.63752499999998
1688729400000,95.87099999999998
1688730000000,96.99155999999998
1688730600000,97.65133499999999
1688731200000,94.94641999999997
1688731800000,95.31327999999995
1688732400000,93.82378999999995
1688733000000,94.32798499999996
1688733600000,96.54590499999996
1688734200000,95.66268499999995
1688734800000,97.95198999999997
1688735400000,98.32759999999995
1688736000000,97.52351999999995
1688736600000,97.16427999999993
1688737200000,97.57081999999994
1688737800000,96.87541999999995
1688738400000,96.66214499999995
1688739000000,99.10634999999995
1688739600000,100.23439999999995
1688740200000,104.59348999999996
1688740800000,103.41364499999996
1688741400000,102.33501499999996
1688742000000,101.95781499999997
1688742600000,102.12791499999996
1688743200000,103.60029499999997
1688743800000,107.29944499999995
1688744400000,108.31626999999997
1688745000000,105.60690499999995
1688745600000,102.91844499999995
1688746200000,100.37083499999993
1688746800000,101.79941499999993
1688747400000,105.70284999999993
1688748000000,106.91060999999992
1688748600000,106.11995499999993
1688749200000,105.36602999999991
1688749800000,100.97887999999993
1688750400000,101.11090999999992
1688751000000,103.86818999999991
1688751600000,104.34365999999991
1688752200000,103.68948499999995
1688752800000,102.44334499999994
1688753400000,99.09362499999993
1688754000000,98.25206999999992
1688754600000,100.55328499999992
1688755200000,99.87393499999985
1688755800000,100.15461499999984
1688756400000,100.71178499999984
1688757000000,98.68289499999986
1688757600000,99.89866999999984
1688758200000,101.74642499999985
1688758800000,101.71676499999987
1688759400000,101.28872999999987
1688760000000,101.30901999999989
1688760600000,102.33741999999988
1688761200000,105.82766999999996
1688761800000,107.96986999999996
1688762400000,106.83016999999995
1688763000000,107.60165499999995
1688763600000,108.37859999999995
1688764200000,106.90588999999994
1688764800000,110.91002999999994
1688765400000,114.11572999999994
1688766000000,114.55595499999993
1688766600000,112.38764499999995
1688767200000,110.10253499999996
1688767800000,109.76557499999998
1688768400000,112.19047999999995
1688769000000,114.18629499999996
1688769600000,113.42163999999994
1688770200000,113.53783499999996
1688770800000,110.89809499999997
1688771400000,109.26001499999994
1688772000000,108.99195499999996
1688772600000,112.00436499999995
1688773200000,111.42645999999996
1688773800000,111.83644999999999
1688774400000,109.34784499999998
1688775000000,106.10740999999999
1688775600000,106.93434499999998
1688776200000,107.09370499999999
1688776800000,106.25948499999996
1688777400000,103.34324499999997
1688778000000,102.84733999999997
1688778600000,97.88409499999996
1688779200000,99.20758499999995
1688779800000,98.79819499999995
1688780400000,97.82565999999994
1688781000000,96.17669499999994
1688781600000,92.70303999999993
1688782200000,89.97427499999993
1688782800000,89.37888499999994
1688783400000,90.10404499999994
1688784000000,88.56314999999994
1688784600000,87.24962499999994
1688785200000,84.52868999999997
1688785800000,80.07183999999995
1688786400000,79.44209999999995
1688787000000,81.23549499999996
1688787600000,81.08696499999995
1688788200000,81.01578999999995
1688788800000,78.99019999999996
1688789400000,78.16173499999995
