"dtime_local per 10 minutes","Average of rtt_max"
1688604000000,35.83879558438547
1688604600000,35.32997952120265
1688605200000,34.85840576453523
1688605800000,34.62452606517022
1688606400000,34.54762286444177
1688607000000,34.52231253743529
1688607600000,34.44155456521644
1688608200000,33.97586270121529
1688608800000,33.34378133315326
1688609400000,33.14232914560734
1688610000000,33.06483837362762
1688610600000,33.133159517496026
1688611200000,33.06109957138931
1688611800000,32.60035517272098
1688612400000,32.221959445595665
1688613000000,32.211400816636704
1688613600000,32.17127667740227
1688614200000,32.46911943312223
1688614800000,32.67649342394655
1688615400000,32.30500227240011
1688616000000,31.809425232902985
1688616600000,31.760737101401574
1688617200000,31.832608330891052
1688617800000,32.0156732276147
1688618400000,32.25241235132369
1688619000000,31.763922422615266
1688619600000,31.297581415262982
1688620200000,31.38658735832087
1688620800000,31.379375336387728
1688621400000,31.731144996234804
1688622000000,31.928199080800386
1688622600000,31.7502839565709
1688623200000,31.504879773518553
1688623800000,31.366978266613295
1688624400000,31.29563196207038
1688625000000,31.37387452174043
1688625600000,31.6770649192792
1688626200000,31.36377146216161
1688626800000,31.104820435692986
1688627400000,30.8971631093749
1688628000000,31.077168356797678
1688628600000,31.24071560488807
1688629200000,31.47437919687122
1688629800000,31.755758685948134
1688630400000,31.521718411688944
1688631000000,31.83349296058069
1688631600000,31.85168852041105
1688632200000,31.86803546436592
1688632800000,32.41664436000601
1688633400000,32.52654396076506
1688634000000,32.451475578708624
1688634600000,32.47475780383046
1688635200000,32.524613275764395
1688635800000,32.68722356555565
1688636400000,33.263751270337046
1688637000000,33.11820494052731
1688637600000,33.02806648170125
1688638200000,33.18449845616525
1688638800000,33.195292973227566
1688639400000,33.56209883786012
1688640000000,33.805052255755626
1688640600000,33.8548436133535
1688641200000,33.76271455279072
1688641800000,33.77146110623003
1688642400000,33.77327570688884
1688643000000,34.02328289667211
1688643600000,34.56236593461383
1688644200000,34.562082688335515
1688644800000,34.13838268531039
1688645400000,33.992128924777155
1688646000000,34.104333253898446
1688646600000,34.016797585600074
1688647200000,34.522924603310386
1688647800000,34.294971992439734
1688648400000,34.06637763961118
1688649000000,34.332529187128856
1688649600000,34.220597708107384
1688650200000,34.183796022675295
1688650800000,34.944051456964615
1688651400000,34.91924612722559
1688652000000,34.72903344464252
1688652600000,35.097702874780694
1688653200000,35.052898485391296
1688653800000,35.07456842372804
1688654400000,35.42228859717664
1688655000000,34.984592471389995
1688655600000,34.859144738523874
1688656200000,35.03237576043232
1688656800000,34.90769485690161
1688657400000,34.77418555427542
1688658000000,35.16962325613456
1688658600000,34.76985169563172
1688659200000,34.6686323788123
1688659800000,35.002839370337725
1688660400000,35.06985008678379
1688661000000,35.37618216822146
1688661600000,35.74404658411015
1688662200000,35.53495494731622
1688662800000,35.37946942385633
1688663400000,35.759653890481786
1688664000000,35.46455264574811
1688664600000,35.77277402473098
1688665200000,36.08037334396661
1688665800000,35.911239226990226
1688666400000,35.702972551835764
1688667000000,35.702935589435405
1688667600000,35.25473385156249
1688668200000,35.39158183591454
1688668800000,35.75097839181231
1688669400000,35.41723958466262
1688670000000,35.31311865461068
1688670600000,35.54723427913141
1688671200000,35.30375907395957
1688671800000,35.42322926730548
1688672400000,36.05440395048402
1688673000000,35.89198592135466
1688673600000,36.10983003578545
1688674200000,36.63059843980326
1688674800000,36.35118432552236
1688675400000,36.65604436635015
1688676000000,37.390210345186134
1688676600000,37.07259934053071
1688677200000,37.16046187646796
1688677800000,37.32470399656797
1688678400000,36.97298788193134
1688679000000,37.218065324613285
1688679600000,37.61129002212107
1688680200000,37.05477848522852
1688680800000,37.004264326004154
