Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
7223,Frontier,3,0.384,DSL,NY,NORTHEAST,29,-5,-4
7225,Charter,25,3,CABLE,WA,WEST,30,-8,-7
7226,AT&T,3,0.384,DSL,IL,MIDWEST,30,-6,-5
7227,Frontier,7,0.384,DSL,NY,NORTHEAST,11,-5,-4
7228,AT&T,3,0.768,DSL,SC,SOUTH,30,-5,-4
7231,Comcast,15,2,CABLE,In,MIDWEST,29,-5,-5
7235,Charter,30,4,CABLE,MI,MIDWEST,27,-5,-4
7237,Verizon,15,5,FIBER,MA,NORTHEAST,30,-5,-4
7238,Charter,30,4,CABLE,CT,NORTHEAST,30,-5,-4
7240,Comcast,25,4,CABLE,TN,SOUTH,30,-5,-4
7241,Cox,15,2,CABLE,NV,WEST,30,-8,-7
7242,Comcast,25,4,CABLE,IN,MIDWEST,30,-6,-5
7243,TimeWarner,30,5,CABLE,OH,MIDWEST,4,-5,-4
7244,TimeWarner,15,2,CABLE,IN,MIDWEST,30,-5,-5
7247,Comcast,15,2,CABLE,MD,SOUTH,30,-5,-4
7248,TimeWarner,10,1,CABLE,NY,NORTHEAST,30,-5,-4
7250,Charter,30,4,CABLE,CA,WEST,30,-8,-7
7256,Comcast,25,4,CABLE,WA,WEST,30,-8,-7
7257,CenturyLink,10,0.896,DSL,NV,WEST,30,-8,-7
7258,Comcast,15,2,CABLE,nm,WEST,29,-7,-6
7259,Verizon,20,5,FIBER,MA,NORTHEAST,30,-5,-4
7261,TimeWarner,3,1,CABLE,WI,MIDWEST,30,-6,-5
7262,Cox,22,5,CABLE,AZ,WEST,20,-7,-7
7266,TimeWarner,3,1,CABLE,SC,SOUTH,30,-5,-4
7268,TimeWarner,20,2,CABLE,NY,NORTHEAST,30,-5,-4
7270,Qwest,12,0.896,DSL,IA,MIDWEST,19,-6,-5
7272,TimeWarner,10,1,CABLE,OH,MIDWEST,23,-5,-4
7273,Qwest,1.5,0.896,DSL,Co,WEST,30,-7,-6
7274,Charter,30,4,CABLE,CA,WEST,30,-8,-7
7275,AT&T,6,0.768,DSL,AR,SOUTH,30,-6,-5
7276,Cox,12,2,CABLE,AZ,WEST,30,-7,-7
7278,Comcast,15,2,CABLE,GA,SOUTH,30,-5,-4
7283,AT&T,12,1.5,DSL,CT,NORTHEAST,30,-5,-4
7284,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
7287,Windstream,3,0.768,DSL,NC,SOUTH,30,-5,-4
7288,Cox,12,2,CABLE,OK,SOUTH,30,-6,-5
7289,Charter,30,4,CABLE,GA,SOUTH,30,-5,-4
7290,Charter,15,3,CABLE,TN,SOUTH,30,-5,-4
7291,Comcast,15,2,CABLE,GA,SOUTH,30,-5,-4
7292,TimeWarner,10,2,CABLE,fl,SOUTH,30,-5,-4
7293,AT&T,24,3,DSL,CT,NORTHEAST,30,-6,-5
7294,Mediacom,12,1,CABLE,IL,MIDWEST,27,-6,-5
7296,TimeWarner,15,2,CABLE,FL,SOUTH,30,-5,-4
7297,Verizon DSL,10,0.384,DSL,pa,NORTHEAST,22,-5,-4
7298,Cox,12,2,CABLE,NV,WEST,26,-8,-7
7299,AT&T,3,0.512,DSL,IL,MIDWEST,30,-6,-5
7302,Cox,18,2,CABLE,FL,SOUTH,28,-6,-5
7303,Cox,15,2,CABLE,AZ,WEST,13,-7,-7
7304,Mediacom,12,1,CABLE,GA,SOUTH,30,-5,-4
7305,Cox,15,2,CABLE,VA,SOUTH,30,-5,-4
7306,Comcast,15,2,CABLE,DE,SOUTH,30,-5,-4
7307,Verizon DSL,10,2,DSL,MA,NORTHEAST,30,-5,-4
7310,AT&T,3,0.512,DSL,TX,SOUTH,30,-6,-5
7311,CenturyLink,0.512,0.256,DSL,PA,NORTHEAST,17,-5,-4
7312,Wildblue/ViaSat,12,3,SATELLITE,WA,WEST,24,-8,-7
7313,Qwest,12,0.896,DSL,MN,MIDWEST,30,-6,-5
7315,TimeWarner,10,1,CABLE,HI,WEST,30,-10,-10
7319,AT&T,18,1.5,DSL,MS,SOUTH,30,-6,-5
7320,Windstream,12,0.768,DSL,NE,MIDWEST,11,-6,-5
7323,Comcast,15,2,CABLE,MI,MIDWEST,30,-5,-4
7324,TimeWarner,10,1,CABLE,CA,WEST,30,-8,-7
7325,Qwest,3,0.64,DSL,WA,WEST,30,-8,-7
7327,TimeWarner,10,1,CABLE,TX,SOUTH,30,-6,-5
7328,Charter,30,4,CABLE,TN,SOUTH,30,-6,-5
