Unit ID,ISP,Technology,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION
8845,Cox,CABLE,25,5,-7,-7,AZ,WEST
8887,Cox,CABLE,5,1,-7,-7,AZ,WEST
8905,Cox,CABLE,25,5,-7,-7,AZ,WEST
9111,Qwest,DSL,40,5,-7,-7,AZ,WEST
9126,Cox,CABLE,100,10,-7,-7,AZ,WEST
9150,Qwest,DSL,1.5,0.896,-7,-7,AZ,WEST
9204,Comcast,CABLE,25,5,-6,-5,AZ,WEST
9240,Qwest,DSL,40,5,-7,-7,AZ,WEST
9327,Cox,CABLE,100,10,-7,-7,AZ,WEST
9367,Cox,CABLE,100,10,-7,-7,AZ,WEST
9423,Cox,CABLE,50,5,-7,-7,AZ,WEST
9442,Cox,CABLE,25,5,-7,-7,AZ,WEST
9538,Cox,CABLE,25,5,-7,-7,AZ,WEST
9540,Cox,CABLE,150,20,-7,-7,AZ,WEST
9554,Cox,CABLE,25,5,-7,-7,AZ,WEST
9579,Cox,CABLE,25,5,-7,-7,AZ,WEST
9661,Qwest,DSL,12,5,-7,-7,AZ,WEST
10027,Cox,CABLE,100,10,-7,-7,AZ,WEST
10252,Comcast,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
10798,Cox,CABLE,50,5,-7,-7,AZ,WEST
10847,Cox,CABLE,25,5,-7,-7,AZ,WEST
10941,Cox,CABLE,25,5,-7,-7,AZ,WEST
11051,Cox,CABLE,25,5,-7,-7,AZ,WEST
11161,Cox,CABLE,5,1,-7,-7,AZ,WEST
11244,Cox,CABLE,50,5,-7,-7,AZ,WEST
11304,Cox,CABLE,25,5,-7,-7,AZ,WEST
