Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
999931,AT&T,IPBB,FL,South,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
999017,Hughes,Satellite,PA,Northeast,-5 hr,-4 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
1006964,Hughes,Satellite,TN,South,-6 hr,-5 hr,5,,,1,SK Whitebox 8.0,Yes,Yes
27870,Mediacom,Cable,IA,Midwest,-6 hr,-5 hr,60,,,5,WR741ND,Yes,Yes
600882,Charter,Cable,PA,Northeast,-5 hr,-4 hr,20,,,2,WDR3600,Yes,Yes
13412,AT&T,IPBB,FL,South,-6 hr,-5 hr,18,,,1.5,WNR3500L,Yes,Yes
216712,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1.5,WDR3600,Yes,Yes
5327,AT&T,IPBB,TX,South,-6 hr,-5 hr,24,,,3,WNR3500L,Yes,Yes
999735,AT&T,IPBB,MO,Midwest,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
5757,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WNR3500L,Yes,Yes
942040,CenturyLink,DSL,NC,South,-5 hr,-4 hr,20,,,2,AC1750v2,Yes,Yes
999111,AT&T,IPBB,FL,South,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
216792,CenturyLink,DSL,IA,Midwest,-6 hr,-5 hr,20,,,0.896,WDR3600,Yes,Yes
663124,Charter,Cable,NY,Northeast,-5 hr,-4 hr,20,,,2,WDR3600,Yes,Yes
11932,CenturyLink,DSL,UT,West,-7 hr,-6 hr,20,,,0.896,WNR3500L,Yes,Yes
215078,AT&T,IPBB,KY,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
7416,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WNR3500L,Yes,Yes
943322,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,AC1750v2,Yes,Yes
805954,AT&T,IPBB,AZ,West,-7 hr,-7 hr,18,,,1.5,WR741NDv4,Yes,Yes
811954,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
806282,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WR741NDv4,Yes,Yes
1006420,Hughes,Satellite,WA,West,-8 hr,-7 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
999719,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
216146,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WR741NDv4,Yes,Yes
5940,Comcast,Cable,WA,West,-8 hr,-7 hr,25,,,10,WNR3500L,Yes,Yes
8807,AT&T,IPBB,GA,South,-5 hr,-4 hr,18,,,1.5,WNR3500L,Yes,Yes
994179,AT&T,IPBB,KS,Midwest,-6 hr,-5 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
184442,AT&T,IPBB,TX,South,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
947106,Hughes,Satellite,PA,Northeast,-5 hr,-4 hr,10,,,1,AC1750v2,Yes,Yes
998815,AT&T,IPBB,LA,South,-6 hr,-5 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
669074,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,18,,,1.5,WDR3600,Yes,Yes
216668,CenturyLink,DSL,CO,West,-7 hr,-6 hr,20,,,0.896,WR741NDv4,Yes,Yes
882106,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WR1043ND,Yes,Yes
948718,AT&T,IPBB,GA,South,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
941780,AT&T,IPBB,TN,South,-6 hr,-5 hr,18,,,1.5,AC1750v2,Yes,Yes
999005,Hughes,Satellite,MD,South,-5 hr,-4 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
806186,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
164264,AT&T,IPBB,NC,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
943332,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,18,,,1.5,AC1750v2,Yes,Yes
8204,Charter,Cable,OH,Midwest,-5 hr,-4 hr,20,,,2,WNR3500L,Yes,Yes
7497,Cox,Cable,AZ,West,-7 hr,-7 hr,50,,,5,WNR3500L,Yes,Yes
994415,AT&T,IPBB,FL,South,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
207336,AT&T,IPBB,TX,South,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
999093,AT&T,IPBB,MO,Midwest,-6 hr,-5 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
