Unit ID,ISP,Technology,STATE,CENSUS,timezone_offset,timezone_offset_dst,Download,Upload
614176,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
614218,AT&T,REMOVE,TX,SOUTH,-6,-5,REMOVE,REMOVE
615072,AT&T,UVERSE,TN,SOUTH,-6,-5,3,1
615206,AT&T,UVERSE,MI,MIDWEST,-5,-4,6,1
615264,AT&T,UVERSE,NV,WEST,-8,-7,6,1
615318,AT&T,UVERSE,KS,MIDWEST,-6,-5,18,1.5
615338,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
615420,AT&T,UVERSE,SC,SOUTH,-5,-4,75,8
615436,AT&T,UVERSE,GA,SOUTH,-5,-4,45,6
615468,AT&T,UVERSE,AL,SOUTH,-6,-5,18,1.5
619854,AT&T,UVERSE,CA,WEST,-8,-7,45,6
620674,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
621626,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1.5
621642,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
621644,AT&T,UVERSE,TN,SOUTH,-6,-5,12,1.5
621646,AT&T,UVERSE,MI,MIDWEST,-5,-4,24,3
621652,AT&T,UVERSE,NC,SOUTH,-5,-4,12,1
621706,AT&T,UVERSE,MO,MIDWEST,-6,-5,6,1
621716,AT&T,UVERSE,MO,MIDWEST,-6,-5,45,6
621720,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
621732,AT&T,REMOVE,AL,SOUTH,-6,-5,REMOVE,REMOVE
623954,AT&T,UVERSE,IN,MIDWEST,-5,-4,18,1.5
623956,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
625876,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1.5
625878,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
625882,AT&T,UVERSE,KS,MIDWEST,-6,-5,6,1
625932,AT&T,UVERSE,AL,SOUTH,-6,-5,12,1
632986,AT&T,UVERSE,MO,MIDWEST,-6,-5,18,1.5
632990,AT&T,UVERSE,TX,SOUTH,-6,-5,6,1
636350,AT&T,UVERSE,OK,SOUTH,-6,-5,6,0.768
636354,AT&T,DSL,LA,SOUTH,-6,-5,3,0.384
636368,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
636378,AT&T,UVERSE,UNKNOWN,UNKNOWN,-8,-7,6,1
636384,AT&T,UVERSE,MS,SOUTH,-6,-5,24,3
636386,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
637806,AT&T,UVERSE,Tx,SOUTH,-6,-5,18,1.5
638400,AT&T,UVERSE,TX,SOUTH,-6,-5,1.5,0.384
655374,AT&T,UVERSE,TX,SOUTH,-6,-5,45,6
655380,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
655384,AT&T,UVERSE,OH,MIDWEST,-5,-4,6,1
656874,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
660294,AT&T,DSL,AL,SOUTH,-6,-5,3,0.384
660980,AT&T,UVERSE,GA,SOUTH,-5,-4,18,1.5
662420,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
662422,AT&T,REMOVE,NV,WEST,-8,-7,REMOVE,REMOVE
665202,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
665206,AT&T,DSL,TX,SOUTH,-6,-5,6,0.512
665412,AT&T,REMOVE,UNKNOWN,UNKNOWN,-5,-4,REMOVE,REMOVE
669074,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
670031,AT&T,UVERSE,UNKNOWN,UNKNOWN,-6,-5,18,1.5
676012,AT&T,UVERSE,TX,SOUTH,-6,-5,300,300
676044,AT&T,UVERSE,TX,SOUTH,-6,-5,300,300
775730,AT&T,UVERSE,CA,WEST,-8,-7,24,3
797134,AT&T,UVERSE,GA,SOUTH,-5,-4,45,6
797166,AT&T,UVERSE,KY,SOUTH,-5,-4,12,1
797188,AT&T,UVERSE,IL,MIDWEST,-6,-5,12,1.5
797308,AT&T,UVERSE,GA,SOUTH,-5,-4,12,1.5
797314,AT&T,UVERSE,FL,SOUTH,-5,-4,18,1.5
797326,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
797364,AT&T,UVERSE,AR,SOUTH,-6,-5,18,1.5
797366,AT&T,DSL,OK,SOUTH,-6,-5,0.768,0.384
797374,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
797386,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
797450,AT&T,UVERSE,CA,WEST,-8,-7,24,3
