Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
3767137,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3767145,Cox,Cable,KS,Midwest,-5,-4,300,300,300,30,SK Whitebox 8.0
3767165,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3767177,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3767181,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3767185,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3767189,Frontier,Fiber,FL,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3767193,Frontier,DSL,CT,Northeast,-5,-4,6,6,6,0.768,SK Whitebox 8.0
3767209,Charter,Cable,FL,South,-5,-4,400,400,400,20,SK Whitebox 8.0
3767217,Frontier,DSL,CA,West,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3767221,Frontier,DSL,CA,West,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3767229,Verizon,Fiber,VA,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3767233,Frontier,Fiber,TX,South,-5,-4,50,50,50,50,SK Whitebox 8.0
3767249,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3767253,Verizon,Fiber,MD,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3782197,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3782201,Frontier,Fiber,TX,South,-5,-4,150,150,150,150,SK Whitebox 8.0
3782205,Frontier,DSL,CA,West,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3782217,Frontier,DSL,CA,West,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3782221,Frontier,Fiber,OR,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3782225,Frontier,DSL,CT,Northeast,-5,-4,3,3,3,0.512,SK Whitebox 8.0
3782229,Frontier,DSL,MN,Midwest,-5,-4,24,24,24,1,SK Whitebox 8.0
3782233,Cox,Cable,CA,West,-5,-4,30,30,30,3,SK Whitebox 8.0
3782237,Cox,Cable,FL,South,-5,-4,150,150,150,10,SK Whitebox 8.0
3782241,Frontier,Fiber,CA,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3782245,Cox,Cable,OK,South,-5,-4,300,300,300,30,SK Whitebox 8.0
3782249,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3782261,Frontier,Fiber,TX,South,-5,-4,150,150,150,150,SK Whitebox 8.0
3782265,Cox,Cable,NV,West,-5,-4,300,300,300,30,SK Whitebox 8.0
3782269,Frontier,DSL,WA,West,-5,-4,24,24,24,1,SK Whitebox 8.0
3782289,Frontier,Fiber,OR,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3782293,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3782297,Frontier,DSL,CT,Northeast,-5,-4,6,6,6,0.768,SK Whitebox 8.0
3782305,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3782309,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3782321,Frontier,DSL,WV,South,-5,-4,24,24,24,1,SK Whitebox 8.0
3782329,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3782333,Cox,Cable,CA,West,-5,-4,150,150,150,10,SK Whitebox 8.0
3782337,Cox,Cable,AZ,West,-5,-4,150,150,150,10,SK Whitebox 8.0
3782345,Frontier,DSL,NY,Northeast,-5,-4,24,24,24,1,SK Whitebox 8.0
3782349,Frontier,Fiber,FL,South,-5,-4,150,150,150,150,SK Whitebox 8.0
